No saved network, starting from scratch.
Turn 1 player 2 move (7,4) cnt: 1/0 hp: 6/6
Turn 2 player 1 move (5,0) cnt: 1/1 hp: 6/6
Turn 3 player 2 move (5,1) cnt: 2/1 hp: 6/6
Turn 4 player 1 move (0,3) cnt: 2/2 hp: 6/6
Turn 5 player 2 move (4,3) cnt: 3/2 hp: 6/6
Turn 6 player 1 move (7,3) cnt: 3/3 hp: 6/6
Turn 7 player 2 move (2,7) cnt: 4/3 hp: 6/6
Turn 8 player 1 move (7,7) cnt: 4/4 hp: 6/6
Turn 9 player 2 move (2,1) cnt: 5/4 hp: 6/6
Turn 10 player 1 move (1,6) cnt: 5/5 hp: 6/6
Turn 11 player 2 move (3,5) cnt: 6/5 hp: 6/6
Turn 12 player 1 move (8,5) cnt: 6/6 hp: 6/6
Turn 13 player 2 move (2,8) cnt: 7/6 hp: 6/6
Turn 14 player 1 move (5,3) cnt: 7/7 hp: 6/6
Turn 15 player 2 move (7,2) cnt: 8/7 hp: 6/6
Turn 16 player 1 move (2,6) cnt: 8/8 hp: 6/6
Turn 17 player 2 move (2,2) cnt: 9/8 hp: 6/6
Turn 18 player 1 move (1,2) cnt: 9/9 hp: 6/6
Turn 19 player 2 move (5,2) cnt: 10/9 hp: 6/6
Turn 20 player 1 move (6,0) cnt: 10/10 hp: 6/6
Turn 21 player 2 move (3,2) cnt: 11/10 hp: 6/6
Turn 22 player 1 move (4,2) cnt: 11/11 hp: 6/6
Turn 23 player 2 move (7,8) cnt: 12/11 hp: 6/6
Turn 24 player 1 move (8,3) cnt: 12/12 hp: 6/6
Turn 25 player 2 move (2,5) cnt: 13/12 hp: 6/6
Turn 26 player 1 move (4,8) cnt: 13/13 hp: 6/6
Turn 27 player 2 move (5,7) cnt: 14/13 hp: 6/6
Turn 28 player 1 move (1,8) cnt: 14/14 hp: 6/6
Turn 29 player 2 move (1,5) cnt: 15/14 hp: 6/6
Turn 30 player 1 move (6,5) cnt: 15/15 hp: 6/6
Turn 31 player 2 move (7,0) cnt: 16/15 hp: 6/6
Turn 32 player 1 move (0,8) cnt: 16/16 hp: 6/6
Turn 33 player 2 move (5,8) cnt: 17/16 hp: 6/6
Turn 34 player 1 move (6,4) cnt: 17/17 hp: 6/6
Turn 35 player 2 move (5,6) cnt: 18/17 hp: 6/6
Turn 36 player 1 move (2,4) cnt: 18/18 hp: 6/6
Turn 37 player 2 move (6,3) cnt: 19/18 hp: 6/6
Turn 38 player 1 move (6,8) cnt: 19/19 hp: 6/6
Turn 39 player 2 move (7,6) cnt: 20/19 hp: 6/6
Turn 40 player 1 move (3,0) cnt: 20/20 hp: 6/6
Turn 41 player 2 move (1,4) cnt: 21/20 hp: 6/6
Turn 42 player 1 move (3,1) cnt: 21/21 hp: 6/6
Turn 43 player 2 move (8,6) cnt: 22/17 hp: 2/6
Turn 44 player 1 move (6,7) cnt: 22/18 hp: 2/6
Turn 45 player 2 move (5,3) cnt: 23/18 hp: 2/6
Turn 46 player 1 move (3,6) cnt: 23/19 hp: 2/6
Turn 47 player 2 move (3,8) cnt: 24/19 hp: 2/6
Turn 48 player 1 move (6,1) cnt: 24/20 hp: 2/6
Turn 49 player 2 move (1,3) cnt: 25/20 hp: 2/6
Turn 50 player 1 move (4,1) cnt: 25/21 hp: 2/6
Turn 51 player 2 move (8,7) cnt: 26/21 hp: 2/6
Turn 52 player 1 move (0,2) cnt: 26/22 hp: 2/6
Turn 53 player 2 move (1,7) cnt: 27/22 hp: 2/6
Turn 54 player 1 move (1,0) cnt: 27/23 hp: 2/6
Turn 55 player 2 move (4,6) cnt: 28/23 hp: 2/6
Turn 56 player 1 move (0,5) cnt: 28/24 hp: 2/6
Turn 57 player 2 move (0,4) cnt: 29/24 hp: 2/6
Turn 58 player 1 move (3,4) cnt: 29/25 hp: 2/6
Turn 59 player 2 move (5,5) cnt: 30/25 hp: 2/6
Turn 60 player 1 move (3,1) cnt: 26/26 hp: 2/1
Turn 61 player 2 move (2,0) cnt: 27/26 hp: 2/1
Turn 62 player 1 move (8,4) cnt: 27/27 hp: 2/1
Turn 63 player 2 move (1,1) cnt: 28/27 hp: 2/1
Turn 64 player 1 move (3,3) cnt: 28/28 hp: 2/1
Turn 65 player 2 move (4,0) cnt: 29/28 hp: 2/1
Turn 66 player 1 move (5,8) cnt: 29/29 hp: 2/1
Turn 67 player 2 move (8,2) cnt: 30/29 hp: 2/1
Turn 68 player 1 move (7,5) cnt: 30/30 hp: 2/1
Turn 69 player 2 move (8,1) cnt: 31/30 hp: 2/1
Turn 70 player 1 move (4,7) cnt: 31/31 hp: 2/1
Turn 71 player 2 move (6,4) cnt: 32/31 hp: 2/1
Turn 72 player 1 move (4,2) cnt: 32/32 hp: 2/1
Turn 73 player 2 move (0,7) cnt: 33/32 hp: 2/1
Turn 74 player 1 move (0,1) cnt: 33/33 hp: 2/1
Turn 75 player 2 move (6,6) cnt: 34/33 hp: 2/1
Turn 76 player 1 move (4,4) cnt: 34/34 hp: 2/1
Turn 77 player 2 move (8,0) cnt: 35/34 hp: 2/1
Turn 78 player 1 move (3,7) cnt: 35/35 hp: 2/1
Turn 79 player 2 move (7,1) cnt: 36/35 hp: 2/1
Turn 80 player 1 move (5,6) cnt: 36/36 hp: 2/1
Turn 81 player 2 move (5,7) cnt: 37/36 hp: 2/1
Turn 82 player 1 move (8,8) cnt: 37/37 hp: 2/1
Turn 83 player 2 move (0,0) cnt: 38/37 hp: 2/1
Turn 84 player 1 move (6,2) cnt: 38/38 hp: 2/1
Turn 85 player 2 move (5,5) cnt: 39/38 hp: 2/1
Turn 86 player 1 move (0,6) cnt: 39/39 hp: 2/1
Turn 87 player 2 move (3,6) cnt: 40/35 hp: -3/1
Winner: 2 | z: -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1
Iter 0 Epoch 0 avg loss: 5.44704
Iter 0 Epoch 1 avg loss: 5.25753
Iter 0 Epoch 2 avg loss: 5.13376
Iter 0 Epoch 3 avg loss: 5.02282
Iter 0 Epoch 4 avg loss: 4.94648
Sample weight: 0.0642986
Turn 1 player 2 move (3,4) cnt: 1/0 hp: 6/6
Turn 2 player 1 move (5,1) cnt: 1/1 hp: 6/6
Turn 3 player 2 move (7,4) cnt: 2/1 hp: 6/6
Turn 4 player 1 move (0,2) cnt: 2/2 hp: 6/6
Turn 5 player 2 move (6,5) cnt: 3/2 hp: 6/6
Turn 6 player 1 move (2,1) cnt: 3/3 hp: 6/6
Turn 7 player 2 move (1,2) cnt: 4/3 hp: 6/6
Turn 8 player 1 move (5,7) cnt: 4/4 hp: 6/6
Turn 9 player 2 move (4,4) cnt: 5/4 hp: 6/6
Turn 10 player 1 move (8,2) cnt: 5/5 hp: 6/6
Turn 11 player 2 move (0,5) cnt: 6/5 hp: 6/6
Turn 12 player 1 move (7,5) cnt: 6/6 hp: 6/6
Turn 13 player 2 move (2,6) cnt: 7/6 hp: 6/6
Turn 14 player 1 move (0,1) cnt: 7/7 hp: 6/6
Turn 15 player 2 move (8,4) cnt: 8/7 hp: 6/6
Turn 16 player 1 move (4,1) cnt: 8/8 hp: 6/6
Turn 17 player 2 move (8,0) cnt: 9/8 hp: 6/6
Turn 18 player 1 move (1,5) cnt: 9/9 hp: 6/6
Turn 19 player 2 move (8,1) cnt: 10/9 hp: 6/6
Turn 20 player 1 move (1,0) cnt: 10/10 hp: 6/6
Turn 21 player 2 move (6,6) cnt: 11/10 hp: 6/6
Turn 22 player 1 move (4,3) cnt: 11/11 hp: 6/6
Turn 23 player 2 move (1,7) cnt: 12/11 hp: 6/6
Turn 24 player 1 move (3,5) cnt: 12/12 hp: 6/6
Turn 25 player 2 move (7,0) cnt: 13/12 hp: 6/6
Turn 26 player 1 move (8,5) cnt: 13/13 hp: 6/6
Turn 27 player 2 move (8,3) cnt: 14/13 hp: 6/6
Turn 28 player 1 move (4,8) cnt: 14/14 hp: 6/6
Turn 29 player 2 move (6,3) cnt: 15/14 hp: 6/6
Turn 30 player 1 move (8,6) cnt: 15/15 hp: 6/6
Turn 31 player 2 move (3,8) cnt: 16/15 hp: 6/6
